iter	Logloss
0	0.6607278521
1	0.6321104448
2	0.606001567
3	0.5852103899
4	0.5675422524
5	0.550956169
6	0.5376997687
7	0.5226042704
8	0.5114053073
9	0.5025600169
10	0.4935587379
11	0.4850398137
12	0.477813035
13	0.4704448319
14	0.4631232028
15	0.4571555159
16	0.4520834805
17	0.4468477033
18	0.4417978987
19	0.4374872338
20	0.4327250228
21	0.4282909353
22	0.4235138139
23	0.4198261356
24	0.4169223211
25	0.4135176721
26	0.4102280442
27	0.4071149415
28	0.4043293399
29	0.4021456693
30	0.3998093675
31	0.3976700152
32	0.3957740365
33	0.3935226475
34	0.3916298889
35	0.3900150039
36	0.3888129873
37	0.387270983
38	0.3858640178
39	0.3846591054
40	0.3827809726
41	0.3817483275
42	0.3800807293
43	0.3788122756
44	0.377204649
45	0.3763078756
46	0.3751296094
47	0.3742728542
48	0.3736125987
49	0.3727791652
50	0.3716293496
51	0.3701287906
52	0.3691600967
53	0.3685341841
54	0.3677855896
55	0.3670028631
56	0.3665370179
57	0.3651037578
58	0.3639168184
59	0.3626962221
60	0.3620260079
61	0.3614468614
62	0.3605671562
63	0.3599811744
64	0.3590482802
65	0.3586068258
66	0.3572842129
67	0.3568453214
68	0.3564666679
69	0.3558894804
70	0.355514628
71	0.3548601416
72	0.3543796937
73	0.3541134404
74	0.3536768012
75	0.3525466371
76	0.3522812464
77	0.3516682278
78	0.3513499485
79	0.3512298626
80	0.3502348159
81	0.3494789714
82	0.348825552
83	0.3485800404
84	0.3483877794
85	0.3476388387
86	0.3472702796
87	0.3470204176
88	0.3464300762
89	0.3458013773
90	0.3451584986
91	0.3449300611
92	0.3448348625
93	0.3444773111
94	0.3438593063
95	0.3433422357
96	0.3429936943
97	0.3423746906
98	0.3418637375
99	0.341673328
100	0.3410553605
101	0.3408759489
102	0.340624426
103	0.340310913
104	0.339836389
105	0.3396814604
106	0.3392270748
107	0.3389230672
108	0.3383932196
109	0.3380968094
110	0.337901512
111	0.3374741903
112	0.3369675078
113	0.336770065
114	0.3365640226
115	0.3363142135
116	0.3360416382
117	0.3358548793
118	0.3355716267
119	0.3351606295
120	0.3349870891
121	0.3345115327
122	0.3343274995
123	0.3341449589
124	0.3340213657
125	0.3336567789
126	0.3335374436
127	0.3331087772
128	0.3328500482
129	0.3326959463
130	0.3323534681
131	0.3321600691
132	0.3319442629
133	0.3317795167
134	0.3317053453
135	0.331589496
136	0.3309420534
137	0.3307194626
138	0.3305517856
139	0.3304050759
140	0.3301538226
141	0.3297145547
142	0.3291796286
143	0.3288434849
144	0.3287071249
145	0.3284151651
146	0.3283522782
147	0.3282340627
148	0.3281532413
149	0.3276516437
150	0.3273200124
151	0.3271040499
152	0.326624374
153	0.3265304617
154	0.3262162098
155	0.3261627866
156	0.3258783894
157	0.3257957889
158	0.3257719957
159	0.325479166
160	0.3250945436
161	0.3247282669
162	0.3242693987
163	0.3239638673
164	0.3238370274
165	0.3234820132
166	0.323403853
167	0.3233313563
168	0.3232843146
169	0.3230437364
170	0.3229358653
171	0.3226429648
172	0.3223925884
173	0.3222719643
174	0.3220830649
175	0.3219191656
176	0.3215850175
177	0.3213419246
178	0.3211202871
179	0.3210027862
180	0.3207006143
181	0.3204084715
182	0.3201333688
183	0.3199351266
184	0.3196157714
185	0.3193374738
186	0.3189573059
187	0.3186578719
188	0.3184336762
189	0.318088358
190	0.3178492109
191	0.3177802088
192	0.3177200336
193	0.3173845209
194	0.3171081622
195	0.3170097033
196	0.3167399834
197	0.3165121693
