iter	Passed	Remaining
0	1	257
1	1	162
2	1	129
3	2	120
4	2	108
5	3	113
6	3	106
7	4	100
8	4	100
9	5	96
10	5	92
11	5	89
12	6	86
13	6	84
14	6	81
15	7	80
16	7	78
17	7	76
18	7	75
19	8	74
20	8	73
21	8	71
22	9	70
23	9	69
24	9	69
25	10	67
26	10	66
27	10	66
28	11	65
29	11	64
30	11	63
31	12	63
32	12	62
33	12	61
34	13	61
35	13	60
36	13	60
37	14	59
38	14	59
39	14	58
40	15	58
41	15	57
42	15	56
43	16	56
44	16	55
45	16	55
46	17	54
47	17	54
48	17	53
49	18	53
50	18	52
51	18	52
52	19	52
53	19	51
54	19	51
55	20	50
56	20	51
57	21	52
58	21	51
59	22	50
60	22	50
61	22	50
62	23	49
63	23	49
64	23	48
65	24	48
66	24	47
67	24	47
68	25	46
69	25	46
70	25	45
71	26	45
72	26	45
73	26	44
74	27	44
75	27	43
76	27	43
77	28	43
78	28	42
79	28	42
80	29	41
81	29	41
82	29	41
83	29	40
84	30	40
85	30	39
86	30	39
87	31	39
88	31	38
89	31	38
90	32	37
91	32	37
92	32	36
93	33	36
94	33	36
95	33	35
96	33	35
97	34	34
98	34	34
99	34	34
100	35	33
101	35	33
102	35	33
103	36	32
104	36	32
105	36	31
106	37	31
107	37	31
108	37	30
109	37	30
110	38	29
111	38	29
112	38	29
113	39	28
114	39	28
115	39	28
116	40	27
117	40	27
118	40	27
119	41	26
120	41	26
121	41	26
122	42	25
123	42	25
124	42	25
125	43	24
126	43	24
127	43	23
128	44	23
129	44	23
130	45	23
131	45	22
132	45	22
133	45	21
134	46	21
135	46	21
136	46	20
137	47	20
138	47	20
139	47	19
140	48	19
141	48	19
142	48	18
143	48	18
144	49	17
145	49	17
146	49	17
147	50	16
148	50	16
149	50	16
150	51	15
151	51	15
152	51	15
153	52	14
154	52	14
155	52	14
156	52	13
157	53	13
158	53	13
159	53	12
160	54	12
161	54	12
162	54	11
163	55	11
164	55	11
165	55	10
166	55	10
167	56	10
168	56	9
169	56	9
170	57	9
171	57	8
172	57	8
173	58	8
174	58	7
175	58	7
176	59	7
177	59	6
178	59	6
179	59	5
180	60	5
181	60	5
182	60	4
183	61	4
184	61	4
185	61	3
186	62	3
187	62	3
188	62	2
189	63	2
190	63	2
191	63	1
192	64	1
193	64	1
194	64	0
195	65	0
196	65	0
197	66	0
